id,jahr,monat,Wetter,SS,Arosa,Lenzerheide,wochenend,tag,tagdesjahres,wochedesjahres,dayofseason,date,schneefall,tageslange,anzahlschuler,schulferienindex,fwetter,percentss,tag2schnee,auslastung
1,2015,nov,schoen,7.25,822,913,we,sun,305,44,1,01/11/15,0,10:03:33,0,0,sch_n,72.13930348,NA,1735
2,2015,nov,schoen,7.25,0,0,u,mon,306,44,2,02/11/15,0,10:00:35,0,0,sch_n,72.5,NA,0
3,2015,nov,schoen,5.5,0,0,u,tue,307,45,3,03/11/15,0,09:57:38,0,0,sch_n,55.27638191,0,0
4,2015,nov,schoen,5,0,0,u,wed,308,45,4,04/11/15,0,09:54:43,0,0,sch_n,50.50505051,0,0
5,2015,nov,schoen,7,0,0,u,thu,309,45,5,05/11/15,0,09:51:49,0,0,sch_n,71.06598985,0,0
6,2015,nov,bewolkt,5.5,0,0,u,fri,310,45,6,06/11/15,0,09:48:57,0,0,bew_lkt,56.12244898,0,0
7,2015,nov,schoen,6.75,646,725,we,sat,311,45,7,07/11/15,0,09:46:06,0,0,sch_n,69.112627989999993,0,1371
8,2015,nov,schoen,7,773,951,we,sun,312,45,8,08/11/15,0,09:43:18,0,0,sch_n,72.04116638,0,1724
9,2015,nov,schoen,5,0,0,u,mon,313,46,9,09/11/15,0,09:40:31,0,0,sch_n,51.72413793,0,0
10,2015,nov,schoen,7,0,0,u,tue,314,46,10,10/11/15,0,09:37:46,0,0,sch_n,72.79029463,0,0
11,2015,nov,schoen,7,0,0,u,wed,315,46,11,11/11/15,0,09:35:03,0,0,sch_n,73.04347826,0,0
12,2015,nov,schoen,7,0,0,u,thu,316,46,12,12/11/15,0,09:32:22,0,0,sch_n,73.42657343,0,0
13,2015,nov,schoen,6.25,0,0,u,fri,317,46,13,13/11/15,0,09:29:44,0,0,sch_n,65.90509666,0,0
14,2015,nov,schoen,6.25,441,0,we,sat,318,46,14,14/11/15,0,09:27:08,0,0,sch_n,66.13756614,0,441
15,2015,nov,bewolkt,0.25,384,0,we,sun,319,46,15,15/11/15,0,09:24:34,0,0,leicht bedeckt,2.659574468,0,384
16,2015,nov,schoen,7,0,0,u,mon,320,47,16,16/11/15,0,09:22:02,0,0,sch_n,74.73309609,0,0
17,2015,nov,bewolkt,5,0,0,u,tue,321,47,17,17/11/15,0,09:19:34,0,0,leicht bedeckt,53.66726297,0,0
18,2015,nov,schoen,7,0,0,u,wed,322,47,18,18/11/15,0,09:17:08,0,0,sch_n,75.40394973,0,0
19,2015,nov,schoen,6.25,19,1,u,thu,323,47,19,19/11/15,0,09:14:45,0,0,sch_n,67.68953069,0,20
20,2015,nov,schnee,0,5,0,u,fri,324,47,20,20/11/15,0,09:12:24,0,0,"Bedeckt, Regen Schnee",0,0,5
21,2015,nov,schnee,0.25,209,0,we,sat,325,47,21,21/11/15,5,09:10:07,0,0,"bedeckt, Schneefall",2.727272727,0,209
22,2015,nov,bewolkt,0,271,0,we,sun,326,47,22,22/11/15,5,09:07:53,0,0,"leicht bedeckt,",0,5,271
23,2015,nov,schoen,5.25,0,0,u,mon,327,48,23,23/11/15,0,09:05:41,0,0,sch_n,57.79816514,10,0
24,2015,nov,schoen,6.5,1,2,u,tue,328,48,24,24/11/15,0,09:03:34,0,0,sch_n,71.82320442,5,3
25,2015,nov,schnee,0.5,0,2,u,wed,329,48,25,25/11/15,0,09:01:29,0,0,"bedeckt, Schneefall",5.545286506,0,2
26,2015,nov,schnee,0,0,1,u,thu,330,48,26,26/11/15,0,08:59:28,0,0,"bedeckt, Schneefall",0,0,1
27,2015,nov,schoen,6.25,25,1,u,fri,331,48,27,27/11/15,0,08:57:31,2,0,sch_n,69.83240223,0,26
28,2015,nov,schnee,0,439,570,we,sat,332,48,28,28/11/15,0,08:55:37,114,0,"bedeckt, Schneefall",0,0,1009
29,2015,nov,bewolkt,0,465,581,we,sun,333,48,29,29/11/15,2,08:53:48,0,0,bedeckt,0,0,1046
30,2015,nov,bewolkt,3,187,94,u,mon,334,49,30,30/11/15,0,08:52:02,0,0,leicht bedeckt,33.83458647,2,281
31,2015,dec,schnee,0,118,225,u,tue,335,49,31,01/12/15,0,08:50:20,4,0,"bedeckt, Regen, Schnee",0,2,343
32,2015,dec,schoen,6,360,171,u,wed,336,49,32,02/12/15,0,08:48:42,1,0,sch_n,68.18181818,0,531
33,2015,dec,schoen,6,873,192,u,thu,337,49,33,03/12/15,0,08:47:08,2,0,sch_n,68.31119545,0,1065
34,2015,dec,schoen,4,1745,219,u,fri,338,49,34,04/12/15,0,08:45:38,3,0,sch_n,45.71428571,0,1964
35,2015,dec,schoen,6,2800,2172,we,sat,339,49,35,05/12/15,0,08:44:13,12,0,sch_n,68.70229008,0,4972
36,2015,dec,schoen,6,1700,2372,we,sun,340,49,36,06/12/15,0,08:42:53,6,0,sch_n,68.96551724,0,4072
37,2015,dec,schoen,6,894,646,u,mon,341,50,37,07/12/15,0,08:41:36,12,0,sch_n,69.09788868,0,1540
38,2015,dec,schoen,5.5,1455,709,u,tue,342,50,38,08/12/15,0,08:40:25,8,0,sch_n,63.46153846,0,2164
39,2015,dec,schnee,0,607,199,u,wed,343,50,39,09/12/15,0,08:39:18,9,0,"Leichter Schneefall, bedeckt",0,0,806
40,2015,dec,schoen,6,1279,467,u,thu,344,50,40,10/12/15,0,08:38:16,3,0,sch_n,69.4980695,0,1746
41,2015,dec,schoen,5.5,1677,646,u,fri,345,50,41,11/12/15,0,08:37:18,3,0,sch_n,63.82978723,0,2323
42,2015,dec,schoen,6,3419,3778,we,sat,346,50,42,12/12/15,0,08:36:26,19,0,sch_n,69.76744186,0,7197
43,2015,dec,schoen,4.5,2251,3085,we,sun,347,50,43,13/12/15,0,08:35:38,13,0,sch_n,52.42718447,0,5336
44,2015,dec,schoen,6,801,969,u,mon,348,51,44,14/12/15,0,08:34:56,82,0,sch_n,70.03891051,0,1770
45,2015,dec,bewolkt,0,670,844,u,tue,349,51,45,15/12/15,0,08:34:18,81,0,bew_lkt,0,0,1514
46,2015,dec,bewolkt,0,477,628,u,wed,350,51,46,16/12/15,2,08:33:46,79,0,bew_lkt,0,0,1105
47,2015,dec,bewolkt,5.5,719,857,u,thu,351,51,47,17/12/15,0,08:33:19,76,0,bew_lkt,64.32748538,2,1576
48,2015,dec,schoen,4,879,1029,u,fri,352,51,48,18/12/15,0,08:32:57,94,0,sch_n,46.875,2,1908
49,2015,dec,schoen,6.5,1954,4144,we,sat,353,51,49,19/12/15,0,08:32:40,33,7.557070208,sch_n,76.171875,0,6098
50,2015,dec,schoen,6.5,2696,5463,we,sun,354,51,50,20/12/15,0,08:32:28,284,7.557070208,sch_n,76.171875,0,8159
51,2015,dec,bewolkt,3,2179,3637,u,mon,355,52,51,21/12/15,0,08:32:22,326,7.557070208,bew_lkt,35.15625,0,5816
52,2015,dec,bewolkt,5.5,2627,4536,u,tue,356,52,52,22/12/15,0,08:32:20,336,7.557070208,leicht bew_lkt,64.453125,0,7163
53,2015,dec,schoen,6.5,2596,4413,u,wed,357,52,53,23/12/15,0,08:32:24,369,31.62081579,sch_n,76.171875,0,7009
54,2015,dec,schoen,5,2308,3873,u,thu,358,52,54,24/12/15,0,08:32:34,334,43.39050859,sch_n,58.59375,0,6181
55,2015,dec,schoen,6.5,2903,4502,u,fri,359,52,55,25/12/15,0,08:32:48,324,43.39050859,sch_n,76.171875,0,7405
56,2015,dec,schoen,6.5,3354,5965,we,sat,360,52,56,26/12/15,0,08:33:08,359,43.39050859,sch_n,76.02339181,0,9319
57,2015,dec,schoen,6.5,4687,8096,we,sun,361,52,57,27/12/15,0,08:33:33,606,43.39050859,sch_n,76.02339181,0,12783
58,2015,dec,schoen,6.5,5692,9302,u,mon,362,53,58,28/12/15,0,08:34:03,743,43.39050859,sch_n,75.87548638,0,14994
59,2015,dec,schoen,6.5,5911,9590,u,tue,363,53,59,29/12/15,0,08:34:38,680,43.39050859,sch_n,75.87548638,0,15501
60,2015,dec,schoen,6.5,6136,9607,u,wed,364,53,60,30/12/15,0,08:35:19,669,43.39050859,sch_n,75.72815534,0,15743
61,2015,dec,bewolkt,0,4210,6718,u,thu,365,53,61,31/12/15,0,08:36:04,598,43.39050859,bew_lkt,0,0,10928
62,2015,jan,schnee,5.5,5336,6331,u,fri,1,53,62,01/01/16,5,08:36:55,588,43.39050859,"VM: bew_lkt, NM: sch_n",63.95348837,0,11667
63,2016,jan,schnee,0,2809,3843,we,sat,2,53,63,02/01/16,0,08:37:50,279,43.39050859,"VM: sch_n, NM Schneefall",0,5,6652
64,2016,jan,schoen,5,4063,5383,we,sun,3,53,64,03/01/16,20,08:38:50,373,43.39050859,sch_n,57.91505792,5,9446
65,2016,jan,schnee,3.5,2749,4344,u,mon,4,1,65,04/01/16,20,08:39:56,438,8.428967691,"VM: bew_lkt, NM:Schneefall",40.46242775,20,7093
66,2016,jan,bewolkt,3,2681,3943,u,tue,5,1,66,05/01/16,0,08:41:05,373,8.428967691,wechselhaft,34.54894434,40,6624
67,2016,jan,schnee,4.25,3104,4705,u,wed,6,1,67,06/01/16,0,08:42:20,429,6.091215275,VM: sch_n,48.85057471,20,7809
68,2016,jan,schnee,0,1977,2524,u,thu,7,1,68,07/01/16,10,08:43:39,295,6.091215275,"Schnee, Wind",0,0,4501
69,2016,jan,bewolkt,1.5,2936,4123,u,fri,8,1,69,08/01/16,0,08:45:03,353,6.091215275,bew_lkt,17.14285714,10,7059
70,2016,jan,bewolkt,1.5,2719,3991,we,sat,9,1,70,09/01/16,5,08:46:31,71,6.091215275,stark bew_lkt,17.11026616,10,6710
71,2016,jan,bewolkt,1,2662,4556,we,sun,10,1,71,10/01/16,0,08:48:04,101,6.091215275,VM: leicht bew_lkt,11.36363636,5,7218
72,2016,jan,schnee,0,1090,1384,u,mon,11,2,72,11/01/16,0,08:49:41,115,1.874220084,"Schneefall, Wind",0,5,2474
73,2016,jan,schnee,0,1454,1846,u,tue,12,2,73,12/01/16,10,08:51:22,123,1.874220084,Schneefall,0,0,3300
74,2016,jan,schnee,0,1492,2023,u,wed,13,2,74,13/01/16,5,08:53:07,265,1.874220084,Schneefall,0,10,3515
75,2016,jan,bewolkt,0.5,2204,2534,u,thu,14,2,75,14/01/16,10,08:54:56,117,1.874220084,bew_lkt,5.617977528,15,4738
76,2016,jan,bewolkt,1,1998,2990,u,fri,15,2,76,15/01/16,10,08:56:49,112,1.874220084,bew_lkt,11.19402985,15,4988
77,2016,jan,schnee,0.5,2874,4534,we,sat,16,2,77,16/01/16,10,08:58:46,24,1.874220084,Schneefall,5.576208178,20,7408
78,2016,jan,schnee,0,1882,3566,we,sun,17,2,78,17/01/16,20,09:00:46,69,1.874220084,Schneefall,0,20,5448
79,2016,jan,schoen,6.25,2662,4180,u,mon,18,3,79,18/01/16,0,09:02:50,74,1.874220084,sch_n,69.18819188,30,6842
80,2016,jan,bewolkt,2.5,1818,3337,u,tue,19,3,80,19/01/16,0,09:04:58,72,1.874220084,leicht bew_lkt,27.57352941,20,5155
81,2016,jan,schnee,0,1410,3469,u,wed,20,3,81,20/01/16,0,09:07:09,57,1.874220084,"leicht bew_lkt, Schneefall",0,0,4879
82,2016,jan,schoen,7,2672,4375,u,thu,21,3,82,21/01/16,0,09:09:23,52,1.874220084,sch_n,76.50273224,0,7047
83,2016,jan,schoen,7,3665,6339,u,fri,22,3,83,22/01/16,0,09:11:40,90,1.874220084,sch_n,76.22504537,0,10004
84,2016,jan,schnee,1,3476,7694,we,sat,23,3,84,23/01/16,0,09:14:01,42,1.874220084,Schneefall,10.83032491,0,11170
85,2016,jan,bewolkt,3,5058,10782,we,sun,24,3,85,24/01/16,0,09:16:24,158,1.874220084,wechselhaft,32.37410072,0,15840
86,2016,jan,schoen,7,3149,5224,u,mon,25,4,86,25/01/16,0,09:18:51,224,1.874220084,sch_n,75.2688172,0,8373
87,2016,jan,schoen,3.5,2769,4340,u,tue,26,4,87,26/01/16,0,09:21:20,175,1.874220084,sch_n,37.43315508,0,7109
88,2016,jan,bewolkt,5,2665,4044,u,wed,27,4,88,27/01/16,0,09:23:52,181,1.874220084,bew_lkt,53.28596803,0,6709
89,2016,jan,bewolkt,2.5,2738,4180,u,thu,28,4,89,28/01/16,0,09:26:26,192,1.874220084,leicht bew_lkt,26.50176678,0,6918
90,2016,jan,schoen,6.5,3023,5108,u,fri,29,4,90,29/01/16,0,09:29:03,129,1.874220084,sch_n,68.54130053,0,8131
91,2016,jan,schoen,6,5738,11073,we,sat,30,4,91,30/01/16,0,09:31:43,122,1.874220084,sch_n,63.04728546,0,16811
92,2016,jan,schnee,0,3104,4253,we,sun,31,4,92,31/01/16,10,09:34:24,603,1.874220084,schneefall,0,0,7357
93,2016,feb,bewolkt,5,5509,7738,u,mon,32,5,93,01/02/16,5,09:37:08,1063,1.874220084,bew_lkt,51.99306759,10,13247
94,2016,feb,bewolkt,4.5,5722,8330,u,tue,33,5,94,02/02/16,0,09:39:54,794,1.874220084,bew_lkt,46.63212435,15,14052
95,2016,feb,schnee,0,3705,4756,u,wed,34,5,95,03/02/16,0,09:42:43,727,1.874220084,"bew_lkt, Schneefall",0,5,8461
96,2016,feb,schnee,0.5,5019,6692,u,thu,35,5,96,04/02/16,30,09:45:33,858,1.874220084,"bew_lkt, Schneefall",5.128205128,0,11711
97,2016,feb,schnee,1,5e3,7685,u,fri,36,5,97,05/02/16,30,09:48:25,778,1.874220084,"bew_lkt, sch_n",10.20408163,30,12685
98,2016,feb,schoen,7,6152,11974,we,sat,37,5,98,06/02/16,0,09:51:19,366,11.02822635,sch_n,71.06598985,60,18126
99,2016,feb,schnee,1.5,3452,6069,we,sun,38,5,99,07/02/16,20,09:54:14,815,11.02822635,VM: Sturm,15.15151515,30,9521
100,2016,feb,bewolkt,3,6328,10141,u,mon,39,6,100,08/02/16,0,09:57:11,1216,11.02822635,leicht bew_lkt,30.15075377,20,16469
101,2016,feb,schnee,1.5,271,7371,u,tue,40,6,101,09/02/16,0,10:00:10,1046,11.02822635,Sturmtag,15,20,7642
102,2016,feb,schnee,0,4798,6904,u,wed,41,6,102,10/02/16,10,10:03:10,896,11.02822635,Schneefall,0,0,11702
103,2016,feb,schoen,7.5,7224,11622,u,thu,42,6,103,11/02/16,10,10:06:12,950,11.02822635,sch_n,74.25742574,10,18846
104,2016,feb,schoen,4.5,6292,10691,u,fri,43,6,104,12/02/16,0,10:09:15,1352,11.02822635,sch_n,44.33497537,20,16983
105,2016,feb,bewolkt,4,5005,9573,we,sat,44,6,105,13/02/16,5,10:12:20,140,28.7348719,bew_lkt,39.21568627,10,14578
106,2016,feb,bewolkt,2.5,5797,9360,we,sun,45,6,106,14/02/16,0,10:15:25,1141,28.7348719,leicht bew_lkt,24.3902439,5,15157
107,2016,feb,bewolkt,0,5284,7230,u,mon,46,7,107,15/02/16,10,10:18:32,1448,26.72519809,bew_lkt,0,5,12514
108,2016,feb,bewolkt,0,4736,6346,u,tue,47,7,108,16/02/16,10,10:21:40,1130,26.72519809,bew_lkt,0,10,11082
109,2016,feb,bewolkt,0,5884,9185,u,wed,48,7,109,17/02/16,0,10:24:48,1254,26.72519809,bew_lkt,0,20,15069
110,2016,feb,schoen,7,7628,11948,u,thu,49,7,110,18/02/16,0,10:27:58,1211,26.72519809,sch_n,66.98564593,10,19576
111,2016,feb,bewolkt,0,4742,7597,u,fri,50,7,111,19/02/16,0,10:31:09,1365,26.72519809,bew_lkt,0,0,12339
112,2016,feb,schnee,0.5,5132,9840,we,sat,51,7,112,20/02/16,0,10:34:21,195,28.7348719,Schneefall,4.731861199,0,14972
113,2016,feb,bewolkt,5.5,7152,14230,we,sun,52,7,113,21/02/16,10,10:37:33,941,27.26901696,leicht bew_lkt,51.80533752,0,21382
114,2016,feb,bewolkt,4,5572,9078,u,mon,53,8,114,22/02/16,0,10:40:47,1285,21.59053944,leicht bew_lkt,37.5,10,14650
115,2016,feb,bewolkt,0,3378,5326,u,tue,54,8,115,23/02/16,0,10:44:01,764,21.59053944,bew_lkt,0,10,8704
116,2016,feb,schoen,6.5,5583,9991,u,wed,55,8,116,24/02/16,10,10:47:15,893,21.59053944,sch_n,60.27820711,0,15574
117,2016,feb,bewolkt,0.5,4102,7038,u,thu,56,8,117,25/02/16,0,10:50:31,739,21.59053944,bew_lkt,4.615384615,10,11140
118,2016,feb,schoen,8.5,6016,10426,u,fri,57,8,118,26/02/16,0,10:53:47,733,21.59053944,sch_n,78.10107198,10,16442
119,2016,feb,bewolkt,6.5,6306,11704,we,sat,58,8,119,27/02/16,0,10:57:03,340,23.92829186,leicht bew_lkt,59.36073059,0,18010
120,2016,feb,bewolkt,0.5,3684,7133,we,sun,59,8,120,28/02/16,0,11:00:21,598,23.92829186,bew_lkt,4.545454545,0,10817
121,2016,feb,schnee,0,2565,3947,u,mon,60,9,121,29/02/16,0,11:03:38,695,6.22164631,bew_lkt NM: Schneefall,0,0,6512
122,2016,mar,bewolkt,1.5,2136,2389,u,tue,61,9,122,01/03/16,10,11:06:57,577,6.22164631,leicht bew_lkt,13.51351351,0,4525
123,2016,mar,bewolkt,0,2540,3445,u,wed,62,9,123,02/03/16,0,11:10:15,638,6.22164631,bew_lkt,0,10,5985
124,2016,mar,bewolkt,4.5,1984,2271,u,thu,63,9,124,03/03/16,10,11:13:34,557,6.22164631,leicht bew_lkt,40.11887073,10,4255
125,2016,mar,bewolkt,8,701,654,u,fri,64,9,125,04/03/16,0,11:16:54,539,6.22164631,bew_lkt,71.00591716,10,1355
126,2016,mar,schnee,3,357,547,we,sat,65,9,126,05/03/16,0,11:20:13,206,6.22164631,"VM: Sturm, NM: leicht bew_lkt",26.47058824,10,904
127,2016,mar,bewolkt,0,416,775,we,sun,66,9,127,06/03/16,50,11:23:33,296,6.22164631,bew_lkt,0,0,1191
128,2016,mar,bewolkt,0,480,1324,u,mon,67,10,128,07/03/16,0,11:26:54,310,1.874220084,bew_lkt,0,50,1804
129,2016,mar,schnee,0,404,1846,u,tue,68,10,129,08/03/16,0,11:30:14,262,1.874220084,Schneefall,0,50,2250
130,2016,mar,bewolkt,0,491,3106,u,wed,69,10,130,09/03/16,0,11:33:35,220,1.874220084,bew_lkt,0,0,3597
131,2016,mar,schnee,4.5,682,1945,u,thu,70,10,131,10/03/16,0,11:36:56,221,1.874220084,bew_lkt/sch_n,38.79310345,0,2627
132,2016,nov,bewolkt,4,0,0,u,fri,309,44,1,04/11/16,0,09:52:31,0,2.009673809,leicht bew_lkt,40.54054054,0,0
133,2016,nov,regen,0,40,0,we,sat,310,44,2,05/11/16,0,09:49:39,0,2.009673809,Regen/Schnee,0,0,40
134,2016,nov,schnee,0,52,0,we,sun,311,44,3,06/11/16,0,09:46:47,0,2.009673809,Schneefall,0,0,52
135,2016,nov,schnee,0,0,0,u,mon,312,45,4,07/11/16,0,09:43:58,0,0,Schneefall,0,0,0
136,2016,nov,schoen,6.45,0,0,u,tue,313,45,5,08/11/16,0,09:41:11,0,0,sch_n,66.60929432,0,0
137,2016,nov,bewolkt,0,0,0,u,wed,314,45,6,09/11/16,0,09:38:26,0,0,bew_lkt,0,0,0
138,2016,nov,bewolkt,1.5,0,0,u,thu,315,45,7,10/11/16,0,09:35:42,0,0,bew_lkt,15.65217391,0,0
139,2016,nov,schnee,0,0,0,u,fri,316,45,8,11/11/16,10,09:33:01,0,0,bew_lkt/Schnee,0,0,0
140,2016,nov,bewolkt,2,792,0,we,sat,317,45,9,12/11/16,20,09:30:22,0,0,leicht bew_lkt,21.05263158,10,792
141,2016,nov,bewolkt,0,629,0,we,sun,318,45,10,13/11/16,0,09:27:45,0,0,bew_lkt,0,30,629
142,2016,nov,schoen,7.25,0,0,u,mon,319,46,11,14/11/16,0,09:25:11,0,0,sch_n,76.99115044,20,0
143,2016,nov,bewolkt,1,0,0,u,tue,320,46,12,15/11/16,0,09:22:39,0,0,bew_lkt,10.67615658,0,0
144,2016,nov,bewolkt,0,0,0,u,wed,321,46,13,16/11/16,0,09:20:10,0,0,bew_lkt,0,0,0
145,2016,nov,bewolkt,5.5,0,0,u,thu,322,46,14,17/11/16,0,09:17:43,0,0,leicht bew_lkt,59.2459605,0,0
146,2016,nov,bewolkt,0,0,0,u,fri,323,46,15,18/11/16,0,09:15:20,0,0,bew_lkt,0,0,0
147,2016,nov,schnee,0,284,0,we,sat,324,46,16,19/11/16,5,09:12:59,0,0,Schneefall,0,0,284
148,2016,nov,wind,1.75,0,0,we,sun,325,46,17,20/11/16,0,09:10:41,0,0,F_hnsturm,19.09090909,5,0
149,2016,nov,bewolkt,0,0,NA,u,mon,326,47,18,21/11/16,0,09:08:26,0,0,bew_lkt,0,5,NA
150,2016,nov,bewolkt,3.5,0,NA,u,tue,327,47,19,22/11/16,0,09:06:14,0,0,leicht bew_lkt,38.46153846,0,NA
